rname,A-site,count
3,5115,1
6,983,5
18,239,1
3,20020,8
8,1279,18
14,421,8
12,46249,4
10,8599,1
10,7914,1
22,306,28
13,2018,3
17,8743,4
1,1378,4
14,180,11
12,5784,1
17,1145,19
19,3387,15
2,5237,16
21,308,5
8,16320,1
9,19710,7
16,3078,2
22,721,1
15,1230,9
22,161105,1
5,3135,1
7,3768,1
14,213,15
19,11329,1
11,9003,3
14,5800,6
18,12855,2
15,83496,1
12,26413,1
22,3469,4
5,934,20
2,7697,1
5,509,21
8,18176,1
15,14674,1
2,1455,1
1,11317,1
20,5222,1
X,788,4
8,10193,6
17,5372,3
9,4867,2
11,4892,2
15,8159,1
21,3208,2
16,1236,54
11,2827,7
11,70728,1
6,626,15
19,4255,8
2,27611,1
17,917,30
6,1586,10
15,662,6
19,24923,1
9,1233,3
11,5093,4
8,4325,17
2,1336,3
10,1813,36
1,867,54
16,4583,1
10,15834,1
18,1237,1
6,8368,2
7,112,2
6,12069,2
17,3032,8
14,3128,4
5,8157,1
17,5517,7
4,4152,2
16,9884,5
17,2555,4
20,9164,1
5,3640,43
16,6845,1
3,5164,2
4,112,1
13,1489,7
22,22446,1
17,1379,9
17,446,18
3,3498,1
11,14851,1
18,121123,1
15,2946,2
12,10471,1
6,1391,3
5,570,16
4,1397,1
16,6998,1
14,952,29
18,3578,9
13,351,3
21,2383,1
1,914,26
17,805,16
10,41,16279
6,4989,1
17,13541,1
6,2945,1
1,1752,12
11,15874,1
5,5484,2
7,2452,12
9,634,11
11,11380,1
18,3604,3
18,9745,1
21,3344,1
2,16201,1
1,11441,2
21,879,1
13,11141,1
17,3346,2
4,1100,8
5,36497,2
19,162,161
14,12592,10
7,6998,3
17,1747,1
X,3055,4
17,52421,1
5,315,14
8,680,49
4,26946,1
5,10311,1
8,2904,2
16,654,29
1,6184,1
7,9861,5
20,4851,1
10,3059,1
1,11870,1
14,1075,11
13,1429,1
3,4552,3
7,3119,4
2,489,6
1,2219,5
5,25763,1
X,1708,1
20,1618,4
19,1211,8
13,562,3
1,1238,14
17,848,17
7,6643,1
1,5494,163
16,21358,1
18,28577,1
5,52885,14
9,130863,3
13,365,5
19,7861,54
2,17819,1
21,891,16
11,1175,44
7,4192,2
10,5703,1
17,690,11
5,68089,1
5,4303,1
17,15226,1
7,579,9
10,8005,1
19,1453,7
9,3156,1
18,21741,1
17,13156,1
8,4014,4
4,12193,2
1,43159,1
1,4102,3
20,3565,3
10,4448,1
6,581,16
21,320,1
3,8634,2
19,2842,4
6,3542,1
14,2219,1
1,10238,1
7,11051,3
7,11014,2
1,6085,5
2,2061,1
2,8736,1
13,4226,5
1,9817,1
6,2660,3
GL000219.1,3223,1
1,4083,12
13,4214,2
17,1189,34
5,57775,1
15,1284,3
5,1394,1
9,1627,6
10,1535,15
9,352,15
3,10291,1
6,34236,5
15,1617,9
10,6301,1
3,3810,1
19,2223,1
14,2438,1
16,12600,1
16,897,9
17,4769,1
1,686,31
13,2067,1
22,1492,2
2,954,4
13,2587,1
16,1152,2
7,8320,1
X,1929,6
5,2061,6
14,13858,10
20,5265,1
13,9031,31
7,5674,1
9,7802,2
11,2882,1
16,504,17
10,15407,2
2,35973,5
12,2635,7
17,11740,1
4,5173,1
16,2811,1
10,10467,1
18,1012,1
20,7390,3
9,7599,1
4,2862,1
16,7007,1
7,11030,6
17,1109,27
17,4530,2
X,1554,21
15,10770,8
3,3819,2
5,1127,66
16,3354,2
7,573,24
19,5519,1
18,5868,2
1,14416,1
6,1267,9
17,3892,1
KI270728.1,36,9
17,5946,1
10,6536,1
7,2022,17
1,748,24
17,12570,1
7,1468,5
16,22380,1
2,928,19
2,951,4
X,721,3
20,5443,1
2,3560,4
7,10518,1
1,1852,1
10,3038,10
14,1338,13
2,6779,6
11,2594,4
5,7950,2
17,5557,2
16,561,6
15,3455,1
7,7582,2
22,13924,9
20,680,21
20,71528,2
X,3604,1
16,6053,1
1,37278,1
7,20805,2
1,36527,1
2,2843,30
11,5460,2
12,2462,1
17,4808,10
2,7814,2
11,567,9
14,3874,2
2,6697,3
9,11089,2
20,28733,2
18,19115,1
7,739,5
17,813,50
15,5225,1
5,1755,3
22,1788,3
X,351,10
8,3044,5
16,125,133
KI270736.1,36,5
14,10802,1
7,2859,1
7,1576,2
11,12077,1
11,3570,13
13,962,11
17,11732,2
11,56,6
3,8709,10
1,5945,3
13,3036,1
22,655,5
17,5841,4
14,88436,3
12,2526,2
14,1655,6
9,813,2
5,4507,1
12,688,8
2,7593,3
14,2812,3
10,705,13
1,3546,2
3,33485,1
12,2035,4
22,2582,2
5,5965,1
7,47463,1
5,7095,3
1,7229,2
20,5935,5
11,1240,51
13,237,2
9,3216,5
12,5729,2
17,9349,1
2,314,427
14,2245,1
4,1299,11
6,2211,31
20,6913,2
3,1441,21
3,10859,1
5,4273,3
6,9657,3
20,1458,1
5,3022,5
5,6402,13
14,147,60
15,12666,2
6,929,12
6,1461,6
4,1768,3
14,127,66
X,2662,1
3,2537,3
17,822,14
9,7738,1
17,11786,5
2,2086,3
4,1364,4
4,3047,6
X,2471,1
3,2682,4
1,2856,1
20,24665,1
11,494,8
14,1832,6
10,3680,5
X,1009,31
5,2022,9
5,2760,5
9,742,5
X,2458,27
5,135,103
1,4351,3
10,4330,5
17,7008,9
2,2561,14
14,73033,1
17,407,23
20,2354,1
1,298,74
12,2189,4
13,1502,9
22,1120,1
17,3160,1
12,2003,3
19,3270,12
16,13186,1
KI270718.1,39,2
7,808,9
2,3720,2
X,2861,2
15,1216,4
10,1715,3
9,2673,16
7,8082,1
19,347,52
9,4173,1
8,29454,1
X,3782,2
4,20494,1
4,17375,3
11,2519,1
12,2435,6
17,2800,1
9,3211,2
5,3429,130
21,6768,4
7,2153,9
17,992,10
5,2067,1
15,751,2
2,21137,1
3,1832,47
4,1261,2
4,113015,29
15,481,2
19,10067,4
19,1335,5
19,856,4
2,2354,5
2,1207,7
7,3811,3
19,2784,38
10,4942,4
10,5326,2
9,1923,4
13,1773,1
6,2453,2
12,1316,2
17,2459,1
11,1864,12
8,9011,1
4,4219,2
1,338,62
1,35469,3
8,1493,9
8,1306,18
2,8462,2
11,110,6
17,4533,2
19,582,14
2,2494,1
16,5385,12
18,324,2
1,8698,1
5,4956,1
12,6348,1
6,3541,1
14,7937,4
8,6297,7
1,4136,3
13,521,1
4,1766,36
1,5486,1
7,38412,1
X,3655,2
19,2894,16
1,712,62
13,1397,1
22,1841,12
5,14975,2
X,20081,1
16,5125,13
8,11693,2
7,644,14
4,15057,1
1,1181,21
10,2083,9
9,3259,4
9,3587,8
12,26172,1
20,11379,2
7,14104,1
14,16710,8
15,1582,11
6,1343,7
7,27814,1
3,8019,2
6,5696,3
15,7122,35
X,43,151590
22,5904,2
4,289,11
6,609,24
7,11636,1
13,2288,6
14,10137,2
2,15618,5
12,41282,6
7,3399,12
17,2000,1
6,6381,1
13,451,28
21,2300,3
15,24806,1
7,1538,1
6,1483,2
2,27240,3
21,609,1
7,1723,13
10,44802,8
16,1677,26
16,183,51
5,3175,3
8,3577,3
1,3357,8
7,3765,6
15,2067,4
9,12957,2
3,25366,1
7,2990,6
7,24185,1
3,25654,4
Y,795,1
X,1454,22
21,15354,1
9,5903,1
4,2722,1
17,1706,31
20,6705,4
13,1484,4
7,7212,1
11,749,20
2,59663,3
17,3022,12
1,264,32
4,21623,1
3,32775,1
2,15165,3
3,3121,1
8,3734,6
17,176,54
10,236,5
17,18059,3
11,5499,1
19,1146,4
5,313,18
6,19566,35
6,1454,2
14,7898,1
1,8360,3
20,4214,2
12,4917,2
9,2795,1
10,1555,12
8,9906,90
14,3427,1
7,2866,1
9,2011,12
7,1776,7
18,681,1
10,2102,9
7,402,6
12,38159,1
3,3140,3
2,10201,2
1,2207,20
1,5303,7
12,1843,3
22,2731,15
1,22589,1
7,5152,2
3,8672,1
11,1503,2
12,3221,1
8,8286,1
9,277,9
1,3668,5
3,5803,1
14,3239,2
18,871,1
5,1850,6
15,668,89
5,1680,15
8,4428,1
10,17106,2
20,6594,32
6,2715,1
4,1933,7
10,7449,1
2,3706,81
6,7067,1
22,3118,4
11,18615,5
18,591,1
12,5329,25
4,4155,2
20,6697,1
8,432,4
17,1709,10
5,2173,3
7,2539,2
16,5869,4
X,12075,1
7,517,23
17,406,9
9,11732,1
18,4630,1
8,5226,2
8,1713,6
5,871,18
1,12060,3
6,3530,2
17,163,94
20,5951,1
3,1442,24
9,10543,1
21,571,4
10,1986,6
5,385,47
4,2691,7
5,31825,1
8,3444,1
2,1578,2
9,2014,5
20,699,4
14,12964,2
19,1728,3
18,1044,1
1,4158,11
7,71571,1
3,8345,39
20,1868,11
11,858,62
3,1791,8
3,17488,1
X,5923,2
7,61470,1
14,1506,3
5,7929,8
4,3449,1
20,1275,21
22,21743,1
2,6138,1
1,29082,6
5,2860,1
4,2725,4
20,1385,2
22,2804,3
11,6604,6
1,7717,1
4,16550,1
7,490,3
X,635,2
6,36,6936
13,1641,2
5,1520,4
7,10199,14
1,2807,13
6,4799,1
2,2690,6
8,8196,1
5,645,3
17,23586,1
3,67112,5
6,31732,1
X,400,14
X,845,2
4,6680,1
5,28629,3
20,265,13
7,927,6
18,723,7
15,6043,1
2,2744,19
3,8004,1
15,1290,22
6,15940,4
3,2529,1
17,2237,6
2,6651,1
14,2834,1
7,5039,1
19,2440,1
X,10265,1
8,1153,5
11,111982,2
X,2963,1
9,7796,1
X,6621,1
8,780,2
12,27001,1
20,31922,1
9,2348,6
7,57991,5
13,17275,1
20,9236,1
20,5349,5
21,448,2
4,3236,4
12,1060,20
19,12709,1
18,2964,2
8,9428,1
6,70268,2
20,13444,1
7,28001,1
7,512,16
10,44,30625
11,1219,16
21,2372,2
8,2492,4
2,10925,2
5,25347,1
9,707,7
4,928,11
7,693,12
3,39686,1
5,1336,2
6,43953,3
8,741,5
15,2801,1
X,869,28
X,6743,1
20,784,6
2,236,79
7,2878,6
7,3496,1
15,2029,1
1,7854,1
8,309,6
22,1243,1
9,722,6
16,442,21
4,1880,7
1,2117,6
X,2711,1
5,2830,9
9,2498,4
13,366,1
12,15032,4
2,2231,5
12,1139,6
11,39932,1
1,6324,8
X,5235,5
20,11578,1
8,7652,5
10,5198,1
19,8289,1
22,6470,3
17,2863,4
10,8600,1
15,4209,2
22,400,8
4,2585,4
4,486,6
11,27737,2
14,1122,14
5,1411,2
2,6403,11
9,21797,1
12,25328,1
16,5563,6
15,1276,3
19,1656,10
15,7147,1
10,3681,3
14,142,122
14,461,8
19,1547,1
17,6986,1
16,135,72
13,7893,4
13,527,3
11,1344,8
22,1091,3
1,1785,6
9,1150,8
17,7133,1
2,165,47
2,15314,1
14,762,2
14,4488,8
22,990,3
1,2837,9
12,3147,2
1,278,101
1,1392,9
7,2403,1
20,957,2
16,1530,18
4,676,6
4,57749,1
8,13568,1
16,2139,3
17,6724,3
X,3654,3
22,4532,1
9,5661,3
20,331,7
9,2747,7
X,2584,2
17,980,9
4,1657,5
7,6312,3
4,2333,14
X,532,6
20,8358,1
3,480,7
7,8298,1
13,39,7113
19,1689,10
17,2299,2
7,1090,10
19,12509,3
2,7412,1
6,1071,15
10,11079,1
12,1107,27
17,1485,276
19,5567,1
7,533,28
2,30631,9
4,992,3
3,5337,2
14,7033,4
6,3837,1
6,1763,2
1,9549,1
16,8185,2
4,5236,3
11,4903,4
8,11459,1
X,673,6
5,2260,5
16,18002,1
12,3175,1
10,26092,1
3,3432,1
5,27106,18
12,6204,2
8,3953,7
7,8702,3
11,232,33
6,1485,4
1,40381,1
3,5806,3
14,722,2
12,2667,1
8,4560,1
12,2945,5
2,18771,5
7,16653,6
12,5841,1
10,1430,5
6,25634,2
18,504,17
19,3088,1
12,33826,1
4,11259,10
2,2993,3
3,2565,44
4,5636,71
12,3123,5
2,3148,6
20,2269,3
9,7958,1
4,15887,21
15,1101,1
7,1684,2
X,10956,7
6,5913,1
4,712,15
6,2291,1
1,17700,1
20,2790,19
6,3659,4
X,1852,3
1,10431,1
15,808,19
17,5274,2
13,1272,1
3,3688,1
19,3606,1
5,275,4
21,3408,7
14,5748,1
6,15678,10
9,4808,2
20,6640,1
5,676,36
21,3580,1
5,528,10
8,2017,1
12,1655,36
10,3425,3
21,1063,2
3,3212,19
2,5740,1
8,13255,2
1,6921,1
11,1705,185
2,9736,1
6,5560,1
22,2262,1
21,402,4
20,11981,1
16,4054,2
2,19665,1
1,40,46697
1,937,45
6,902,10
8,690,10
14,552,1
21,255,3
11,701,45
20,5002,1
3,5135,3
1,1448,8
2,494,29
6,8009,1
10,8573,1
15,609,8
15,1688,2
19,286,14
1,4089,3
11,299,73
3,2718,4
17,43968,1
17,506,5
17,1181,1
18,4424,4
3,2382,6
5,84608,2
X,6018,31
14,3019,135
8,656,4
8,1126,1
3,1555,7
19,10066,2
16,1744,3
6,5132,1
3,24011,1
10,4064,2
14,5550,4
10,32742,1
9,30520,2
13,1016,7
1,17936,1
15,2983,9
16,736,2
17,2049,12
14,1764,1
22,1064,5
8,671,18
1,11711,10
15,693,4
1,4385,2
6,1256,76
6,8029,1
3,2315,9
14,468,8
1,5949,1
2,23884,1
13,2564,1
4,14648,21
17,4139,2
15,8667,2
4,2002,3
12,1911,4
19,3889,1
4,1478,8
15,168,20
5,1525,28
6,20839,6
9,450,23
3,3046,3
17,31067,1
15,25735,5
9,12329,1
1,3558,4
15,24546,1
11,7310,4
2,671,37
12,742,13
17,4286,7
8,5272,14
11,7854,1
21,32030,11
14,6130,1
19,11869,1
19,3471,1
5,253,24
17,2918,5
14,910,1
19,6527,5
16,2832,1
4,44,38839
19,4705,6
4,3029,7
20,19536,2
19,1292,7
7,4540,3
8,38005,1
8,1666,1
9,1494,2
2,4261,1
9,2241,53
13,442,5
4,2592,1
15,4814,1
19,2935,5
9,8112,1
2,5613,7
4,5355,3
9,2842,1
13,2384,1
16,1375,19
1,8370,5
5,8411,2
1,1143,23
19,2204,6
8,3442,2
10,10329,3
5,558,18
5,8101,1
1,4798,4
8,3101,1
22,3251,1
12,1408,7
17,541,28
9,5291,3
13,1556,1
11,459,8
X,152,39
17,8858,2
X,3846,5
1,18240,1
4,3634,1
12,2680,8
10,7588,2
19,12006,1
12,12195,2
17,2305,4
9,11107,1
5,3707,1
19,4121,554
6,2485,1
8,6585,3
7,83488,3
1,2359,9
1,344,67
4,1549,1
8,5275,1
3,118023,1
17,7245,1
14,3737,5
18,3802,3
19,3899,2
10,4403,1
5,2984,1
2,2293,122
1,3867,9
16,2806,13
2,1419,38
8,2562,7
6,568,7
1,3382,13
14,3211,2
11,2686,1
8,660,86
10,9888,1
14,6304,6
5,19203,1
2,1715,25
3,2137,6
16,1183,1
8,23042,1
1,8670,1
7,35093,1
11,1252,14
4,3972,1
20,610,3
19,2945,3
11,3145,6
13,2225,2
17,4333,1
16,192,30
14,5715,1
10,3613,1
9,7157,1
4,3098,3
8,2206,1
2,7282,1
5,1193,17
X,89412,3
21,1500,4
7,2525,4
7,336,13
14,6632,4
12,34,1863
9,632,15
6,6354,1
13,3136,6
16,3862,4
4,2728,3
9,51591,1
21,3833,3
7,2070,2
8,1478,6
19,13581,3
6,6751,6
17,2422,7
10,2304,3
2,1001,19
3,3181,3
8,2389,7
18,7058,3
11,2225,8
20,1413,10
1,8345,5
17,4787,1
5,5791,1
2,11281,1
5,34551,1
19,1595,22
11,191,75
15,11416,3
4,3067,2
2,16203,3
9,710,3
8,11493,18
9,4066,2
12,6356,1
14,1542,2
10,1213,3
5,8284,2
16,6391,3
14,2487,1
17,3319,4
1,709,34
12,19385,1
X,6292,1
6,8205,4
5,6401,6
9,17334,3
17,97989,2
X,38530,1
5,2391,6
9,111519,1
2,14722,1
15,5623,1
15,3654,1
6,11262,2
12,2426,10
11,1117,9
13,5008,1
3,1585,6
16,813,74
17,921,7
6,2166,1
4,1538,19
7,1342,6
7,1821,3
22,414,4
17,2342,7
20,28205,8
2,11027,3
4,169,7
1,23657,1
15,2121,29
1,3419,4
6,4500,1
X,13686,1
11,10553,1
14,23804,1
8,7479,1
5,19811,1
10,5083,1
6,9746,1
12,794,9
11,7701,2
7,2352,9
4,5746,2
7,559,30
6,2256,3
7,2432,3
1,8237,1
1,3826,1
16,63301,61
3,7807,2
2,23763,1
2,23121,1
X,1582,20
1,13920,5
16,9517,2
7,4685,1
1,9802,3
22,2164,1
5,7676,4
17,2244,6
1,40062,1
18,5112,1
11,2122,12
14,8462,1
9,53000,2
X,2377,4
6,1529,12
17,5286,4
1,5409,15
3,2366,1
5,1045,6
16,1897,4
22,2873,2
6,795,5
9,18927,1
11,6142,2
X,2738,2
9,2821,1
X,3257,1
2,1829,19
X,2159,37
1,966,8
20,1830,55
12,3000,9
3,8493,1
1,19794,5
7,643,30
17,2784,19
2,5639,5
4,4039,13
10,5203,2
7,32298,3
19,11267,1
22,311,8
20,27922,3
10,5511,1
2,94886,1
12,3893,4
13,31932,32
3,685,9
6,42246,1
19,1473,12
5,58531,1
1,12202,2
19,2580,7
5,14155,1
18,1027,1
22,5328,1
14,5858,2
12,1839,3
8,572,27
17,832,11
1,2177,24
12,7568,72
5,4589,1
7,11770,1
5,13698,4
10,2037,4
2,5509,3
13,2565,2
2,8040,1
17,1158,17
12,926,4
18,1759,1
3,4210,1
20,7575,1
15,8951,1
11,20799,1
15,5407,1
19,4141,1
12,3813,3
1,4845,15
12,28929,2
X,435,29
17,3070,19
4,1924,4
8,22870,1
8,76365,1
5,1624,1
3,332,23
3,354,9
X,60189,21
19,2605,7
4,806,10
19,15146,12
5,2929,52
3,10960,1
10,13560,1
17,2353,4
7,1172,13
3,7943,3
14,3836,1
16,4431,1
5,1586,10
18,2515,12
1,24302,1
12,3890,4
4,102959,3
4,6352,3
X,25379,1
19,770,4
2,5278,1
15,12626,2
15,2231,1
3,16264,1
17,658,27
3,875,3
17,2389,9
3,4113,1
16,3771,1
8,2549,5
13,78599,2
3,76130,2
5,1257,3
15,2524,6
8,1656,1
12,1916,13
11,1826,6
10,2089,18
4,681,2
22,1592,3
6,780,9
3,1226,1
7,3784,3
5,40963,1
14,6626,4
1,2407,3
15,3042,5
11,1057,92
12,5314,5
9,3784,1
1,12208,20
11,6214,1
9,33738,1
9,552,18
19,2716,16
22,909,31
22,2905,2
2,18048,1
2,8823,1
9,4169,2
9,2245,6
16,5748,2
5,7510,36
5,8652,3
2,1392,226
3,7902,1
3,533,13
2,792,2
14,14488,2
5,3560,5
8,8467,1
Y,116147,1
4,1582,5
11,7819,16
4,1208,3
14,14637,1
2,1504,23
6,6614,1
14,465,1
15,13771,24
19,14094,1
1,11659,1
X,6742,2
3,755,5
9,17685,1
8,5012,4
2,4615,3
1,2409,1
5,2493,9
2,8369,6
11,453,29
20,5050,3
10,3147,1
6,2348,1
4,8293,1
6,2151,2
22,7160,1
7,8683,1
3,1004,11
4,16671,2
20,8587,1
7,4887,2
12,613,36
6,3382,1
8,8198,4
2,1691,7
19,7318,3
12,4555,2
9,2663,3
6,7238,4
12,27838,1
19,4062,4
16,9201,1
4,152,9
4,37693,1
X,98964,2
6,3477,2
10,8331,2
11,797,4
2,13025,3
16,4303,3
7,471,14
14,4547,4
17,1380,24
16,10050,1
3,655,5
5,1033,6
17,17280,1
5,42732,2
7,520,14
20,501,1
1,9608,5
15,5792,6
X,681,11
7,3635,5
2,13532,15
X,7005,1
1,4035,10
12,11722,1
1,2928,18
10,6019,1
13,1488,1
12,40159,8
X,12200,1
1,5993,6
7,2184,1
4,6443,1
6,5934,8
19,32725,2
6,1487,9
14,2554,2
5,7738,1
10,6761,3
18,251,1
2,1353,103
10,2489,5
22,4781,45
13,2440,1
6,734,10
11,3989,11
5,5719,1
15,297,19
10,8774,1
13,4337,3
19,4431,4
X,1636,3
11,1534,21
5,5158,3
12,2548,4
9,1916,4
9,18267,1
9,10707,1
16,3175,4
5,7912,4
4,405,1
19,454,30
8,1684,3
7,5246,1
17,6851,10
14,13408,1
11,6761,2
2,1919,21
8,2612,3
3,2142,4
5,17416,2
5,519,2
9,22183,1
17,524,22
6,1413,5
12,36141,1
10,56,5
1,3506,2
14,7563,1
6,5503,10
1,13924,1
3,1863,5
X,974,8
4,50,70
21,3237,2
5,2432,2
17,17976,2
14,6660,7
19,9193,3
11,400,14
17,616,37
3,2121,3
12,12167,7
6,26134,1
4,2108,26
2,40115,1
7,2003,9
8,175006,3
18,3559,2
13,917,18
1,32254,2
4,5520,1
9,15962,8
7,3172,5
5,7436,4
X,643,4
19,3505,19
1,770,36
1,8544,1
10,1607,9
16,1460,2
12,10534,1
17,4212,2
5,6350,1
3,476,5
12,1924,10
17,5411,5
12,3260,2
20,24693,1
8,4685,2
10,65162,1
19,3209,2
11,7815,8
13,2581,4
10,12187,6
22,20704,2
22,1151,12
5,17412,1
2,3366,12
16,16631,1
2,1857,19
19,2106,1
16,11658,2
11,2414,5
9,3335,6
2,3820,9
6,13673,2
19,2380,21
5,57438,1
5,4782,1
21,3118,2
19,1368,2
2,1246,2
11,2652,24
X,3806,3
21,629,1
7,157,521
16,658,1
4,13732,1
2,4879,31
11,2247,3
19,52733,1
11,795,6
6,18686,4
11,12972,1
1,39123,2
GL000225.1,42,1
1,705,24
17,1117,2
19,3773,19
KI270713.1,40,1
19,1231,21
19,1977,6
3,1568,4
22,5119,5
16,2755,4
18,14057,2
13,7686,2
13,8645,5
1,15881,2
5,757,5
4,4953,1
4,1372,2
16,30152,4
21,579,1
7,1658,5
6,2645,9
1,38185,2
14,3722,3
17,2855,5
6,2030,1
2,15937,1
8,4150,2
9,196,80
2,3240,7
20,9002,3
4,1485,38
8,855,9
11,273,51
19,3983,3
1,14801,15
22,13337,3
X,19416,1
6,8409,1
6,1207,6
22,1010,4
20,4991,5
3,14045,5
20,1698,2
21,3475,1
3,3699,3
7,7238,11
10,8421,6
7,576,10
20,1292,4
7,515,20
7,588,55
21,1860,1
17,14035,1
6,819,121
11,6478,9
4,2260,1
17,9955,2
2,4621,6
3,7798,1
19,1709,24
8,2767,18
1,4555,1
11,471,85
7,6697,1
17,7264,2
20,94384,2
9,2625,3
6,10122,2
19,6123,1
2,4055,4
1,15621,1
13,45776,2
X,3231,3
19,5591,2
1,1290,14
2,539,41
16,25359,1
19,9582,1
4,46538,4
11,2546,3
18,11033,1
X,669,4
8,85972,2
2,566,17
17,1737,7
6,19567,10
4,20339,3
8,99187,2
6,2502,2
5,6370,2
7,318,44
X,1031,38
X,26791,2
21,4032,6
1,3655,5
15,1245,31
1,10443,9
1,4620,5
14,3137,1
13,4168,1
10,1315,11
6,1928,4
8,23882,1
16,2589,3
4,5745,24
16,2803,5
14,16446,10
2,3731,6
15,24166,1
7,14199,1
7,5728,2
16,22177,1
X,3296,8
10,1196,3
10,3273,5
8,5337,1
1,1225,5
10,15268,3
22,10973,4
1,2454,7
6,1178,4
9,5553,2
14,30326,1
3,3891,5
18,7592,7
2,10313,2
22,737,4
5,692,55
2,62602,1
22,4031,2
13,29463,8
16,3445,2
13,1143,3
14,1056,15
19,4098,10
12,8501,7
7,30075,1
4,10491,8
10,1559,15
7,2446,4
21,495,1
7,1160,6
14,134,114
X,4709,1
15,6035,1
20,379,3
6,4514,2
11,727,28
15,4063,14
16,1522,8
15,683,4
3,1043,4
12,1676,14
13,42958,1
1,4122,9
8,322,10
20,1227,1
21,32029,4
14,5178,4
3,3004,1
1,2972,5
2,3725,5
2,6909,1
14,1892,5
1,2356,3
3,437,4
1,40904,4
7,18935,1
19,2027,16
2,1018,15
4,3782,2
22,3598,1
10,5799,4
2,5736,4
6,4466,2
19,2891,3
9,3722,1
4,26942,1
5,12246,9
12,1904,5
20,23299,3
10,7857,2
18,4718,9
14,2501,84
7,1026,3
7,1446,8
19,2745,1
5,4026,2
17,445,51
12,1690,7
3,854,1
7,12938,2
4,7728,1
20,7541,1
8,8975,4
6,1205,8
20,1760,5
X,1619,3
9,14777,4
2,9502,1
3,5903,1
11,2676,7
2,1281,22
1,7227,10
2,2677,12
11,16221,1
10,8911,1
10,2128,1
15,1963,1
7,9259,1
5,4010,6
10,3702,3
X,14246,1
15,2832,36
20,519,10
14,6840,8
20,3439,1
5,84130,1
1,4729,3
12,989,7
10,5334,1
7,603,18
18,2534,1
17,3220,7
21,6241,1
11,33544,1
9,126,44
10,748,3
19,1310,7
15,3972,1
3,35642,2
15,12532,1
13,3634,6
8,5962,11
2,7288,2
20,2656,3
6,20698,1
1,27368,3
6,3578,1
8,3525,2
5,1327,2
15,1141,3
20,781,1
12,584,8
13,2355,2
3,1647,31
10,1589,1
13,8462,1
8,1317,1
1,2010,21
9,3071,3
19,116,162
10,22817,2
2,6230,2
16,1055,9
12,19589,1
20,1084,1
1,24359,1
10,4136,2
12,24932,1
4,7108,3
14,1449,8
5,7169,1
5,7771,1
6,7207,66
8,18630,4
12,3444,14
12,1914,9
7,55,17
9,327,3
2,637,27
10,1210,4
17,865,3
18,1416,2
2,26603,5
2,1934,2
16,2831,3
1,9212,1
1,900,4
13,1524,1
15,676,3
X,1263,5
12,8502,1
1,8289,1
